_id,nombre,proveedorID,categoria,cantidadxUnidad,precioUnitario,unidadesnStock,unidadesnPedido
94,Almohada de Espuma,94,Hogar,1 pieza,27.99,30,10
95,Botellas de Agua,95,Alimentos,6 botellas,8.99,50,20
96,Auriculares In-ear,96,Electrónica,1 pieza,19.99,70,15
97,Silla de Comedor,97,Muebles,1 pieza,59.99,20,10
98,Pañuelo de Seda,98,Ropa,1 pieza,12.49,50,15
99,Set de Llaves Inglesas,99,Herramientas,5 piezas,32.99,25,10
100,Mopa para Piso,100,Hogar,1 pieza,7.49,60,20
101,Gafas de Sol,101,Accesorios,1 pieza,14.99,90,25
102,Juguete Educativo,102,Niños,1 pieza,24.99,40,12
103,Set de Brochas de Maquillaje,103,Belleza,10 piezas,19.49,35,15
104,Bolsa de Tela,104,Accesorios,1 pieza,5.99,80,20
105,Ropa de Baño,105,Ropa,1 pieza,29.99,25,10
106,Pantalones de Mezclilla,106,Ropa,1 pieza,39.99,50,20
107,Escoba de Cerdas,107,Hogar,1 pieza,6.49,70,25
108,Cuchara de Madera,108,Cocina,1 pieza,2.99,100,30
109,Plancha de Vapor,109,Electrodomésticos,1 pieza,49.99,20,8
110,Cortina de Baño,110,Hogar,1 pieza,14.99,30,12
111,Cinta de Embalar,111,Oficina,1 rollo,3.49,80,25
112,Batidora de Mano,112,Electrodomésticos,1 pieza,29.99,40,15
113,Silla de Oficina Ergonómica,113,Muebles,1 pieza,129.99,15,5
114,Papel de Regalo,114,Oficina,1 rollo,4.99,90,20
115,Colchón Inflable,115,Hogar,1 pieza,49.99,25,10
116,Guantes de Cocina,116,Cocina,1 par,7.49,70,15
117,Tazas para Café,117,Cocina,4 piezas,15.99,50,12
118,Ropa de Cama para Niños,118,Hogar,1 set,34.99,30,10
119,Lámpara LED,119,Iluminación,1 pieza,12.99,60,20
120,Cuchillo de Chef,120,Cocina,1 pieza,18.99,40,15
121,Cinta Métrica,121,Herramientas,1 pieza,7.49,65,20
122,Aspiradora,122,Electrodomésticos,1 pieza,129.99,15,8
123,Kit de Pintura,123,Arte,12 piezas,22.49,30,12
124,Espejo de Pared,124,Hogar,1 pieza,34.99,25,10
125,Alfombra,125,Muebles,1 pieza,45.99,20,12
126,Cargador de Teléfono,126,Electrónica,1 pieza,9.99,75,25
127,Porta Lápices,127,Oficina,1 pieza,2.99,90,30
128,Chaqueta de Invierno,128,Ropa,1 pieza,59.99,40,15
129,Mochila Escolar,129,Accesorios,1 pieza,23.49,50,20
130,Papel Higiénico,130,Hogar,12 rollos,6.99,100,40
131,Set de Cubiertos,131,Cocina,4 piezas,19.99,35,12
132,Linterna,132,Hogar,1 pieza,14.49,60,15
133,Sombrero de Sol,133,Accesorios,1 pieza,8.99,40,20
134,Cafetera Eléctrica,134,Cocina,1 pieza,39.99,25,10
135,Cámara de Seguridad,135,Electrónica,1 pieza,149.99,15,5
136,Bolso de Mano,136,Accesorios,1 pieza,32.99,50,20
137,Cuaderno de Notas,137,Oficina,1 pieza,4.49,80,25
138,Plancha de Ropa,138,Electrodomésticos,1 pieza,34.99,30,12
139,Juego de Sábanas,139,Hogar,1 set,22.99,45,15
140,Vaso de Cristal,140,Cocina,1 pieza,3.49,90,25
141,Cinturón de Cuero,4,Accesorios,1 pieza,18.99,70,20
142,Soporte para Laptop,142,Electrónica,1 pieza,12.49,60,15
143,Pinceles de Pintura,143,Arte,6 piezas,14.99,25,10
144,Candelabro,144,Hogar,1 pieza,22.99,30,12
145,Estante de Libro,145,Muebles,1 pieza,49.99,20,10
146,Cinta Adhesiva,146,Oficina,1 rollo,1.99,100,30
147,Batidora de Mano,147,Electrodomésticos,1 pieza,34.99,40,15
148,Tenedor de Mesa,148,Cocina,1 pieza,2.99,100,30
149,Silla de Oficina,149,Muebles,1 pieza,89.99,15,5
150,Guantes de Trabajo,150,Herramientas,1 par,6.99,80,20
